TIC ID;TOI;TESS Disposition;TFOPWG Disposition;Source;Period (days);Period (days) err;Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
454876465;3126.01;PC;PC;qlp;18.246.201;0.000079;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
17361;3127.01;PC;APC;qlp;36.071.013;0.0002973;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
453677947;3128.01;PC;PC;qlp;23.153.107;0.0001164;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
4711;3129.01;PC;PC;qlp;23.351.463;0.0004009;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
453396346;3130.01;PC;PC;qlp;0.4415296;0.0000244;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
2876;3131.01;PC;PC;qlp;26.275.206;0.0005656;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
448923766;3132.01;PC;PC;qlp;22.670.134;0.0002975;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
448775221;3133.01;PC;PC;qlp;40.899.751;0.0006358;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
448688668;3134.01;PC;PC;qlp;22.308.431;0.0002863;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
448098793;3135.01;PC;PC;qlp;37.063.965;0.0000966;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
418471796;3136.01;PC;PC;qlp;26.841.972;0.0000511;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
395514100;3137.01;PC;PC;qlp;18.826.756;0.0000695;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
270347814;3138.01;PC;PC;qlp;28.740.048;0.0003641;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
48661942;3139.01;PC;PC;qlp;39.618.954;0.001424;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
394900138;3140.01;PC;PC;qlp;30.939.154;0.0002891;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
394443982;3141.01;PC;PC;qlp;44.337.799;0.0003084;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
387791274;3142.01;PC;PC;qlp;11.536.701;0.0002251;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
384244834;3143.01;PC;PC;qlp;29.892.844;0.0015327;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
361176558;3144.01;PC;PC;qlp;37.720.233;0.0002803;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
360816296;3145.01;PC;PC;qlp;35.505.852;0.0001001;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
360816293;3146.01;PC;FP;qlp;35.506.084;0.0000995;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
359572563;3147.01;PC;PC;qlp;15.256.141;0.0000571;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
323980895;3148.01;PC;PC;qlp;42.819.277;0.0003028;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
296670796;3149.01;PC;PC;qlp;11.537.874;0.000284;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
195256633;3150.01;PC;PC;qlp;53.449.373;0.0011088;04/06/2021;04/06/2021;29/10/2021 00:00;V-shaped
36607746;3151.01;PC;PC;qlp;17.259.394;0.0001217;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
467484304;3152.01;PC;PC;qlp;0.7814212;0.000101;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
466318137;3153.01;PC;PC;qlp;11.216.403;0.0001449;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
465176038;3154.01;PC;PC;qlp;40.326.475;0.0017925;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
457272901;3155.01;PC;PC;qlp;46.491.869;0.000854;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
457110913;3156.01;PC;PC;qlp;0.7462909;0.0000862;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
456962262;3157.01;PC;PC;qlp;28.811.368;0.0014402;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
451254008;3158.01;PC;PC;qlp;68.557.198;0.0018516;04/06/2021;04/06/2021;23/03/2022 00:00;found in faint-star QLP search
449549170;3159.01;PC;PC;qlp;14.728.133;0.0007497;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
440872576;3160.01;PC;PC;qlp;39.714.761;0.0004957;04/06/2021;04/06/2021;29/10/2021 00:00;found in faint-star QLP search
