TIC ID;TOI;TESS Disposition;Source;Period (days);Stellar Radius (R_Sun);Stellar Mass (M_Sun);Date TOI Alerted (UTC);Date TOI Updated (UTC);Date Modified;Comments
380886535;844.01;PC;spoc-s42-s43-b0A;890.662.508.791.763;151.594.996.452.332;1.05;10/07/2019;26/01/2022;11/03/2022 12:02;centroid offset on TIC 380886534
32283946;845.01;PC;qlp;706.181;1.49;1.06;10/07/2019;10/07/2019;29/10/2021 00:00;warm Jupiter
229141709;846.01;PC;qlp;1.420.489;1.21;1.22;10/07/2019;10/07/2019;29/10/2021 00:00;likely warm Jupiter
231289421;847.01;PC;qlp;32.063.346;2.29;;10/07/2019;21/12/2020;29/10/2021 00:00;Gaia Rs = 2.29 Rsun
42015200;848.01;PC;qlp;977.742;2.87;;10/07/2019;20/05/2020;29/10/2021 00:00;possible hot jupiter
33595516;849.01;PC;qlp;0.76566;.92;.914;10/07/2019;20/05/2020;29/10/2021 00:00;flat-bottomed
423670610;850.01;PC;qlp;1.032.103;1.28;1.1;10/07/2019;10/07/2019;29/10/2021 00:00;possibly 2x period
40083958;851.01;PC;qlp;0.6296;.77;.961;10/07/2019;20/05/2020;29/10/2021 00:00;short period
29918916;852.01;PC;spoc;494.664.743.040.943;173.496;.98;10/07/2019;24/11/2020;29/10/2021 00:00;Confirmed Brown Dwarf
138727432;853.01;PC;qlp;68.646.554;1.38;1.08;10/07/2019;21/12/2020;29/10/2021 00:00;candidate for warm Jupiter
160222069;854.01;PC;qlp;5.850.943;1.38;1.08;10/07/2019;22/12/2020;29/10/2021 00:00;likely on 160222071 (dmag 4.2) to NE and still could be a planet
269558487;855.01;PC;qlp;18.301.278;1.22;1.41;10/07/2019;18/12/2020;26/01/2022 12:06;TOI 855
306338882;856.01;PC;qlp;54.014;4.34;;10/07/2019;10/07/2019;29/10/2021 00:00;hot Jupiter candidate
404467699;857.01;PC;qlp;39.080.236;1.63;1.16;10/07/2019;21/12/2020;29/10/2021 00:00;likely hot Jupiter
198008005;858.01;PC;spoc;32.797.281.770.004;129.746.997.356.415;1.06;10/07/2019;29/09/2021;29/10/2021 00:00;may also be on 198008002
150430484;859.01;PC;qlp;51.543.182;.76;.82;10/07/2019;09/11/2021;13/11/2021 12:04;
321011127;860.01;PC;qlp;64.535.152;1.58;1.07;10/07/2019;22/12/2020;29/10/2021 00:00;large Rp
372913430;861.01;PC;qlp;67.391.601;3.39;2.66;12/07/2019;29/07/2021;29/10/2021 00:00;TFOP NEB
309254930;862.01;PC;spoc-s01-s39-b0A-PC;331.021.357.732.513;;;12/07/2019;22/03/2022;25/03/2022 12:06;visual binary
238898571;863.01;PC;spoc;0.525120334974246;.85030198097229;1;12/07/2019;12/07/2019;29/10/2021 00:00;Centroid offset
231728511;864.01;PC;spoc-s01-s39-b0A-PC;0.520668715269019;.39860999584198;.38991;12/07/2019;22/03/2022;23/03/2022 12:06;
44797824;865.01;PC;spoc;0.745578662038763;119.843.995.571.136;.95;12/07/2019;28/01/2021;02/11/2021 14:52;not exactly synchronized
381976956;866.01;V;spoc;22.338.916;756.825;;12/07/2019;16/11/2020;29/10/2021 00:00;Could also be around 381976959
358460246;867.01;PC;spoc-s01-s39-b0A-PC;154.043.559.282.146;123.499.000.072.479;1.04;12/07/2019;21/03/2022;25/03/2022 12:06;low SNR
271596418;868.01;PC;spoc;0.556109;118.329;1.01;12/07/2019;12/07/2019;29/10/2021 00:00;probably NEB
200807066;869.01;PC;spoc;26.477.129;124.169;1.07;12/07/2019;12/07/2019;29/10/2021 00:00;Possible single event (second event is on momentum dump)
219229644;870.01;PC;spoc;220.379.546.514.083;.611136019229889;.59708;12/07/2019;15/07/2021;29/10/2021 00:00;weak secondary
219344917;871.01;PC;spoc;143.627.380.327.299;.732188999652863;.81;12/07/2019;28/07/2021;29/10/2021 00:00;some odd-even
220459826;872.01;PC;qlp;22.395.609;.76;.79;12/07/2019;10/11/2021;13/11/2021 12:04;SG1 neighbour check does not detect NEB
220459826;872.02;PC;spoc-s01-s39-b0A-PC;497.276.007.122.394;.756359994411469;.79;08/07/2021;21/03/2022;25/03/2022 12:06;candidate 2 in potential multi-planet system
237920046;873.01;PC;spoc-s01-s39-b0A-PC;593.120.510.162.986;.520399987697601;.517851;12/07/2019;21/03/2022;25/03/2022 12:06;check neighbors
232025086;874.01;PC;spoc;590.491.857.833.383;141.788.005.828.857;1.26;12/07/2019;06/07/2021;29/10/2021 00:00;potential L1 planet
14165625;875.01;PC;spoc;11.020.153;.719466;.67;12/07/2019;12/07/2019;29/10/2021 00:00;
32497972;876.01;PC;spoc;294.829.022.033.204;.603739023208618;.591129;12/07/2019;15/07/2021;29/10/2021 00:00;potential L1 planet
255704097;877.01;EB;spoc;601.494.303.755.119;159.435;1.8;01/04/2019;02/02/2021;29/10/2021 00:00;TFOP APC
